Facility.DATIM,Facility.MESI
Dispensaire de Ferrier,Dispensaire DE FERRIER
Dispensaire de Jacquezil,Dispensaire de Jacquezyl
Dispensaire de la source,NA
Dispensaire de Limonade,NA
Dispensaire de Saurel,NA
Dispensaire du Sacré-Coeur Charpentier,Dispensaire du Sacré-Coeur Charpentier
Dispensaire Mic de Chantal,Dispensaire Mic de Chantal
Dispensaire Roy Sec,NA
Dispensaire Sainte-Claire d'Assise,Dispensaire Sainte-Claire d'Assise
FEBS,NA
Grenier OBDC/Laboule 12,Grenier OBDC/Laboule 12
Hopital Adventiste d'Haiti de Diquini,NA
Hôpital Alma-Mater,Hôpital Alma-Mater
Hôpital Bernard Mevs,Hôpital Bernard Mevs
Hôpital Bienfaisance de Pignon,Hôpital Bienfaisance de Pignon
Hôpital Bon Samaritain,NA
Hopital Bon Samaritain de Bassin Bleu,NA
Hôpital Bon Sauveur de Cange,Hôpital Bon Sauveur de Cange
Hôpital Claire Heureuse de Marchand Dessalines,Hôpital Claire Heureuse de Marchand Dessalines
Hopital Communautaire Autrichien Haitien,NA
Hôpital Communautaire De Bon Repos,Hopital communautaire de Reference de bon repos
Hôpital Communautaire de Mirebalais,Hopital Universitaire de Mirebalais
Hôpital Communautaire de Référence de Port Salut,Hôpital Communautaire de Référence de Port Salut
Hopital de Bon Repos,Hopital communautaire de Reference de bon repos
Hôpital de Carrefour,Hôpital de Carrefour
Hôpital de Fermathe,Hôpital de Fermathe
Hôpital de Fort-Liberté,Hôpital de Fort-Liberté
Hôpital de la Communauté Dame-Marienne,Hôpital de la Communauté Dame-Marienne
Hôpital de la Communauté Haitienne,Hôpital de la Communauté Haitienne
Hôpital de l'Université d'Etat d'Haiti(HUEH),Hôpital de l'Université d'Etat d'Haiti(HUEH)
Hôpital Dumarsais Estimé,Hôpital Dumarsais Estimé
Hôpital Espérance de Pilate,Hopital Esperance de Pilate
Hôpital Evangélique de Bombardopolis,Hôpital Evangélique de Bombardopolis
Hôpital Fort Saint-Michel,Hôpital Fort Saint-Michel
Hôpital Foyer Saint-Camille,Hôpital Foyer Saint-Camille
Hôpital Grande-Rivière du Nord,Hôpital Grande-Rivière du Nord
Hôpital Immaculée Conception des Cayes,Hôpital Immaculée Conception des Cayes
Hôpital Immaculée Conception Port-de-Paix,Hôpital Immaculée Conception Port-de-Paix
Hôpital la Colline de Lascahobas,Hôpital la Colline de Lascahobas
Hôpital La Providence des Gonaïves,Hôpital La Providence de Gonaïves
Hôpital Lumière Bonne Fin,Hôpital Lumière Bonne Fin
Hôpital Nicolas Armand,Hôpital Nicolas Armand
Hôpital Notre-Dame de la Nativité de Belladère,Hôpital Notre-Dame de la Nativité de Belladère
Hôpital Notre-Dame de la Paix de Jean-Rabel,Hôpital Notre-Dame de la Paix de Jean-Rabel
Hôpital Notre-Dame de Petit-Goâve,Hôpital Notre-Dame de Petit-Goâve
Hôpital Sacré-Coeur de Milot,Hôpital Sacré-Coeur de Milot
Hopital Saint Francois de Sales,Hopital Saint Francois de Sales
Hôpital Saint-Antoine de Jérémie,Hôpital Saint-Antoine de Jérémie
Hôpital Saint-Boniface Fonds des Blancs,Hôpital Saint-Boniface Fonds des Blancs
Hôpital Saint-Damien Nos Petits Frères et Soeurs,Hopital Saint-Damien nos petits freres et soeurs
Hopital Sainte Croix,NA
Hôpital Sainte-Anne de Camp-Perrin,Hôpital Sainte-Anne de Camp-Perrin
Hôpital Sainte-Thérèse de Hinche,Hôpital Sainte-Thérèse de Hinche
Hôpital Sainte-Thérèse de Miragoâne,Hôpital Sainte-Thérèse de Miragoâne
Hôpital Saint-Jean de Limbé,Hôpital Saint-Jean de Limbé
Hôpital Saint-Michel de Jacmel,Hôpital Saint-Michel de Jacmel
Hôpital Saint-Nicolas de Saint-Marc,Hôpital Saint-Nicolas de Saint-Marc
Hopital Toussaint Louverture d'Ennery,NA
Hôpital Universitaire Justinien,Hôpital Universitaire Justinien
Hôpital Universitaire la Paix,Hôpital Universitaire la Paix
Hôpital Wesleyen de la Gonâve,Hôpital Wesleyen de la Gonâve
ICC Grace Children's Hospital,ICC Grace Children's Hospital
Institut de Dermatologie et des Maladies Infectieuses,Institut de Dermatologie et des maladies infectieuses
Institut des Maladies Infectieuses et Santé de la Reproduction (IMIS),Institut des Maladies Infectieuses et Santé de la Reproduction (IMIS)
Klinik Lafanmy,Klinik Lafanmy
Klinik Pep Bondye,Klinik Pep Bondye
Klinik Santé Fanm,NA
Klinik Solidarite,Klinik Solidarite
Klinik Timoun nou yo,NA
Les Centres Gheskio -INLR,Les Centres GHESKIO -INLR
Maternité Isaie Jeanty,Maternité Isaie Jeanty
Mennonite Carnifice,NA
Mennonite de Croix-des-Bouquets,Mennonite de Croix-des-Bouquets
Notre-Dame des Palmistes,Hopital Notre Dame des Palmistes
Oeuvres de Bienfaisance de Carrefour et de Gressier,Oeuvres de Bienfaisance de Carrefour et de Gressier
POZ - Montrouis,POZ-Montrouis
POZ - Port-au-Prince,NA
Prison Civile de Hinche,Prison civile de Hinche
Prison Civile de Pétion-Ville,NA
Prison Civile de Port-au-Prince,Prison civile de PAP
Prison Civile des Cayes,Prison civile des Cayes
Prison Civile du Cap-Haïtien,Prison civile du Cap Haitien
SADA - Matheux,SADA - Matheux
Sanatorium de Port-au-Prince,Sanatorium de Port-au-Prince
Sanatorium de Sigueneau,Sanatorium de Sigueneau
SCMS Central  Warehouse,NA
SEROVIE,NA
Serovie Cap haitien,NA
Serovie Gonaives,NA
SSPE de Saint-Marc,SSPE de Saint-Marc
